history_key,epoch,accuracy,loss
unet_drop_64_False_0.001_aug,1,0.6473321318626404,104.10394287109375
unet_drop_64_False_0.001_aug,2,0.8834936618804932,3.707314968109131
unet_drop_64_False_0.001_aug,3,0.9081888794898987,2.8061106204986572
unet_drop_64_False_0.001_aug,4,0.9179441332817078,2.4407222270965576
unet_drop_64_False_0.001_aug,5,0.9246068596839905,2.226454973220825
unet_drop_64_False_0.001_aug,6,0.9284372925758362,2.106703996658325
unet_drop_64_False_0.001_aug,7,0.9323605298995972,1.9784988164901733
unet_drop_64_False_0.001_aug,8,0.9347907900810242,1.8995782136917114
unet_drop_64_False_0.001_aug,9,0.9369193315505981,1.8318384885787964
unet_drop_64_False_0.001_aug,10,0.9389050006866455,1.7694087028503418
unet_drop_64_True_0.001_aug,1,0.541945219039917,25.098499298095703
unet_drop_64_True_0.001_aug,2,0.7129092216491699,4.343084335327148
unet_drop_64_True_0.001_aug,3,0.7370668649673462,3.6191353797912598
unet_drop_64_True_0.001_aug,4,0.7454031109809875,3.315216064453125
unet_drop_64_True_0.001_aug,5,0.749461829662323,3.1762661933898926
unet_drop_64_True_0.001_aug,6,0.7530505657196045,3.063087224960327
unet_drop_64_True_0.001_aug,7,0.7558186054229736,2.9529504776000977
unet_drop_64_True_0.001_aug,8,0.7576453685760498,2.888496160507202
unet_drop_64_True_0.001_aug,9,0.7584103941917419,2.8436472415924072
unet_drop_64_True_0.001_aug,10,0.7590830326080322,2.8245956897735596
unet_drop_64_True_0.001,1,0.7891976237297058,0.6282797455787659
unet_drop_64_True_0.001,2,0.9158647656440736,0.2087190300226211
unet_drop_64_True_0.001,3,0.9316030740737916,0.1684658229351043
unet_drop_64_True_0.001,4,0.938184380531311,0.1510336399078369
unet_drop_64_True_0.001,5,0.9426639676094056,0.1393238604068756
unet_drop_64_True_0.001,6,0.9463657140731812,0.129898265004158
unet_drop_64_True_0.001,7,0.9493470788002014,0.1222663149237632
unet_drop_64_True_0.001,8,0.9515201449394226,0.1167998015880584
unet_drop_64_True_0.001,9,0.9531882405281068,0.1125203818082809
unet_drop_64_True_0.001,10,0.9547680020332336,0.1085046082735061
